S6_T,S6_H,S6_R,S6_P,S6_V,S2_T,S2_H,S2_R,S2_P,S2_V,S3_T,S3_H,S3_R,S3_P,S3_V,S5_T,S5_H,S5_R,S5_P,S5_V
0.551922496,-0.733659492,-0.511095298,-0.183401621,0.164794769,-0.136105743,-0.980154857,-0.665609316,-0.136657395,0.20161743,0.054314626,-0.65727626,-0.11136599,-0.136657395,0.745878692,-0.042436601,-0.26138408,-0.576541918,-0.136657395,1.580592401
0.248434519,-0.559282268,-0.840480158,-0.146721297,-0.569291021,-0.688229653,-0.057214635,-1.007944825,-0.097612425,-0.599207001,-0.446439731,-0.308471419,-0.962895278,-0.097612425,0.930433177,-0.31724909,-0.280688165,-0.964741959,-0.097612425,1.209538697
-1.84143798,1.65062228,-1.128664917,-0.366803243,-1.23391786,-1.845379583,1.131578328,-1.091088679,-0.331882245,-1.43067728,-1.95797603,1.358197157,-1.229599891,-0.331882245,-1.098969726,-1.962022345,1.779633408,-1.28028555,-0.331882245,-0.995442775
-1.754771189,1.622058845,-0.919243385,-0.293442594,-1.473619342,-1.755312068,1.051768891,-0.891153553,-0.253792305,-1.405676719,-1.908298018,1.372851047,-1.066930056,-0.253792305,-1.071808877,-1.845282252,1.736283884,-1.104204302,-0.253792305,-0.731781238
-1.548436375,1.585525701,-0.670879707,0.073360649,-0.739533552,-1.648503379,1.076738062,-0.798355156,0.019522485,-1.197607532,-1.789401977,1.3578449,-0.885675134,0.019522485,-1.463203672,-1.638620736,1.425047852,-0.866105813,0.019522485,-0.833666114
-1.34086787,1.429446928,-0.316816461,0.51352454,0.404496252,-1.353858721,1.067546956,-0.662406528,0.370927215,-0.964537783,-1.327065283,1.143954475,-0.380547882,0.370927215,-1.507078889,-1.315850155,1.386778351,-0.195687837,0.370927215,-0.086051416
-0.953488906,1.305119475,0.118980208,0.660245837,0.601296617,-0.931311496,1.065785328,0.018444894,0.488062126,-0.233069749,-1.21346823,1.164103573,-0.284453573,0.488062126,-1.033505116,-0.724261847,0.591924197,0.23399033,0.488062126,-0.215472745
-0.355765633,0.534544293,0.327894079,0.696926161,-0.930886156,-0.347379355,0.484218099,0.856922311,0.488062126,0.522592377,-0.421600725,0.437538369,0.257573073,0.488062126,-0.968040507,-0.581649625,0.431192292,0.156642682,0.488062126,-0.226487326
-0.018659576,-0.246168358,0.5915823,0.586885188,1.106576447,-0.079185752,-0.24724075,1.553213744,0.449017156,0.661305169,-0.19838086,-0.163200649,0.307374816,0.449017156,-0.174108005,-0.186941906,0.139463545,0.209287608,0.449017156,0.252646956
0.158991923,-0.330200965,0.883926848,0.330122918,1.553292847,-0.08956528,-0.846500858,0.693148017,0.292837275,0.995183632,-0.199705607,-0.522573199,0.387902879,0.292837275,0.277876376,-0.217546741,-0.195953393,0.36666455,0.292837275,0.941058281
0.472657852,-0.442414462,0.617957941,0.110040973,1.931231264,-0.053404344,-1.045181932,0.778376487,0.136657395,0.982280117,-0.454388213,-0.47050962,-0.013109092,0.136657395,1.241041858,-0.147502685,-0.373009103,0.124839313,0.136657395,1.446352193
0.231162845,-0.231759125,0.223194678,0,1.718768586,-0.545929676,-0.40103859,-0.264574714,0.019522485,0.83147028,-0.765041378,-0.087394952,-0.447734494,0.019522485,1.170005792,-0.439352917,-0.085141174,-0.247002021,0.019522485,1.39265611
-0.078802011,-0.024164156,-0.603383524,-0.073360649,0.516175352,-1.163344164,0.441709234,-0.729470472,-0.058567455,0.170165111,-1.182005489,0.495660767,-0.784757996,-0.058567455,1.502203865,-0.83437615,0.332165724,-0.726512411,-0.058567455,1.306604694
-0.535576091,0.395297545,-0.988584575,-0.073360649,-0.824654817,-1.3421399,0.685503319,-1.022428288,-0.019522485,-1.077443544,-1.405556541,0.870321269,-1.078251628,-0.019522485,0.392091227,-1.163457007,0.701991347,-1.077239992,-0.019522485,0.570004577
-2.050857022,1.523043186,-1.138863599,-0.366803243,-1.702425303,-2.103863305,0.840986195,-1.110951903,-0.409972185,-1.657295271,-2.376927261,1.139304683,-1.205990718,-0.409972185,-0.892129416,-2.306563376,1.581309338,-1.2716895,-0.409972185,-0.974102024
-1.877523441,1.412487388,-0.906987539,-0.366803243,-1.324486886,-1.948840036,0.58309908,-1.02418306,-0.370927215,-1.537937753,-1.95896959,0.730968416,-0.869991793,-0.370927215,-0.957594026,-2.127351558,1.407030707,-0.994317344,-0.370927215,-0.726273947
-1.644664271,0.978680212,-0.732340786,-0.330122918,-0.021110074,-1.675624081,0.429224648,-0.70977217,-0.331882245,-0.88872963,-1.600294347,0.491433684,-0.357857169,-0.331882245,-0.88655796,-1.795115564,0.864145658,-0.746607947,-0.331882245,-0.742795819
-1.480583372,0.919513095,-0.328284296,-0.293442594,0.032005596,-1.43656012,0.444466565,-0.603954818,-0.331882245,-1.096798817,-1.248242838,0.347853747,-0.10319865,-0.331882245,-0.663699714,-1.365070303,0.374025108,-0.447312167,-0.331882245,-0.570692988
-1.315577205,0.986458647,-0.197133484,-0.25676227,0.239701483,-0.974838548,0.340683661,0.179138442,-0.331882245,-0.012903515,-0.892548275,0.103457869,0.027987408,-0.331882245,-0.032035873,-0.930923362,0.133096584,-0.151686007,-0.331882245,0.053696083
-0.988032253,0.834205335,0.024714378,-0.25676227,0.079673504,-0.85463692,-0.231232907,-0.30373383,-0.292837275,0.938730752,-0.554406609,-0.217166415,0.450654538,-0.292837275,0.190822373,-0.439668431,-0.148539852,1.149678012,-0.292837275,-0.226487326
-0.238564991,0.159075383,0.501195909,-0.25676227,-1.356492482,-0.424388755,-1.196299032,0.114182203,-0.292837275,-0.875826114,-0.163606251,-0.857780921,0.449747055,-0.292837275,0.234001158,-0.038334922,-0.448667568,2.113060665,-0.292837275,0.386887164
-0.026061722,-0.240876472,0.246164445,-0.25676227,1.378283525,-0.477960511,-1.038365195,-0.246743331,-0.253792305,-0.535495893,-0.19838086,-0.974589329,0.412748862,-0.253792305,0.73473578,0.186310878,-0.723801576,1.809362687,-0.253792305,1.032616987
-0.018967999,-0.269312392,0.136706669,-0.25676227,0.255363795,-0.28711113,-0.787754373,0.354783833,-0.214747335,0.869374356,-0.450745158,-0.567873444,-0.060715313,-0.214747335,1.398435494,-0.014355876,-0.634122249,0.432694177,-0.214747335,1.951646105
0.00786478,-0.366797867,0.125863939,-0.25676227,0.399048491,-0.068136577,-0.727705814,0.407496252,-0.214747335,0.327426706,-0.231499534,-0.512639553,0.770355376,-0.214747335,1.0070407,-0.304313026,-0.314622714,-0.129261675,-0.214747335,1.021602406
0.095765261,-0.537987207,-0.302196581,-0.25676227,-0.606063408,-0.443473693,-0.319697302,-0.327396861,-0.214747335,0.484688301,-0.426237339,-0.249996764,-0.3945919,-0.214747335,0.674842626,-0.316618063,-0.217560421,-0.509077375,-0.214747335,0.822651533
-0.214508017,-0.108133006,-0.980219533,-0.25676227,-1.090233164,-0.964793843,0.264397481,-0.919787337,-0.214747335,-0.958086025,-0.90215269,0.215334679,-1.057855235,-0.214747335,0.424823532,-0.548836194,0.031563872,-0.96276937,-0.214747335,0.779281619
-1.675814968,1.396994275,-1.126297095,-0.366803243,-1.319039125,-2.037903081,0.916659634,-1.05509277,-0.370927215,-1.411322007,-2.494829742,1.258367535,-1.211190444,-0.370927215,-0.766771653,-2.07055908,1.208097034,-1.248058763,-0.370927215,-0.936239401
-1.421366206,1.06513561,-0.823037835,-0.366803243,-1.095680925,-1.497832816,0.431445832,-0.824907623,-0.370927215,-1.336320323,-1.872198663,1.01411256,-0.739175314,-0.370927215,-0.571074256,-1.7730296,1.026299969,-0.888620877,-0.370927215,-0.801999193
-1.166300598,0.709049032,-0.367851546,-0.330122918,-0.345932822,-1.199839923,0.375609863,-0.357030073,-0.370927215,-0.504043574,-1.295271355,0.578370701,-0.038412475,-0.370927215,-0.734039348,-1.37327366,0.647804442,-0.329481088,-0.370927215,-0.618881781
-0.813464981,0.424243526,0.308621903,-0.330122918,0.420158565,-0.648385659,-0.090685579,0.312540673,-0.370927215,-0.195972142,-0.805777348,0.127622696,0.071985656,-0.370927215,-1.049523053,-0.599949423,-0.115079438,0.798301863,-0.370927215,-0.075725246
-0.546987733,0.311647484,0.089069882,-0.330122918,-0.17024253,-0.320928301,-0.437649828,-0.041507607,-0.370927215,0.302426144,-0.366954912,-0.274232043,0.385114567,-0.370927215,-0.527199038,-0.19735386,-0.381069405,0.949330901,-0.370927215,0.01583346
0.257378778,-0.410408112,0.889348213,-0.293442594,-0.420158565,-0.006529058,-0.716523302,0.044693903,-0.331882245,0.119357518,-0.014903403,-0.62691171,0.127374999,-0.331882245,0.125357763,0.224803557,-0.657490351,1.359330229,-0.331882245,0.16108825
0.466489397,-0.635090136,0.778931943,-0.220081946,1.558740608,0.1839855,-0.761329943,0.518986925,-0.253792305,0.308877902,0.264949395,-0.712369248,0.489932414,-0.253792305,0.506306078,0.450080385,-0.752656102,1.177408506,-0.253792305,0.371053704
