S4_T,S4_H,S4_P,S4_V,S7_T,S7_H,S7_P,S7_V,S8_T,S8_H,S8_P,S8_V,S9_T,S9_H,S9_P,S9_V
-0.301317274,-0.621749779,-0.082389295,0.375380047,-0.377635642,0.387446711,-0.082389295,0,-0.823407213,0.922635651,-0.082696539,0.693161223,-0.597320753,0.449797201,-0.082389295,0.14249596
-0.209993374,-1.646593576,-0.123583942,1.883750237,-0.520270481,0.487376897,-0.123583942,0,-0.975646057,0.935678145,-0.124044808,0.055720356,-0.630801152,0.413503341,-0.123583942,0.245444583
-0.378710409,-1.661032174,-0.164778589,0.417850053,-0.802568599,0.220498128,-0.164778589,0,-1.125689149,0.942054475,-0.165393078,-0.5014832,-0.606451771,-0.010218659,-0.164778589,0.32830567
-0.755872956,-0.692854931,-0.205973236,-0.502790063,-0.933317202,0.223430862,-0.205973236,0,-1.000531253,0.724582972,-0.165393078,0.174293272,-0.09511477,-0.428478963,-0.205973236,0.676698877
-0.944196252,-0.049645044,-0.247167884,-0.32058004,-1.053665347,0.46771672,-0.247167884,0,-0.778760244,0.464602602,-0.206741347,0.971763,-0.149139959,-0.256347406,-0.247167884,0.755165815
0.244562308,-1.112464333,0.164778589,2.590670326,0.332566994,-0.430894618,0.164778589,0,1.429434921,-0.792693772,0.165393078,0.431944196,0.089027424,0.364524249,0.164778589,2.339570236
-0.200190244,-0.535118189,0.164778589,1.080930136,0.165664422,-0.368438252,0.164778589,0,1.284515252,-1.06880819,0.124044808,-0.14264411,-0.025110299,0.232386411,0.164778589,1.907688207
-0.473130035,-0.176625593,0.123583942,0.567180071,-0.150806627,0.195624202,0.123583942,0,0.332290555,0.12086044,0.082696539,-0.100742403,0.229797283,-0.358005449,0.123583942,1.554900851
-0.516986145,-0.090092898,0.082389295,0.439770055,-0.352377389,0.525828295,0.082389295,0,-0.207132659,0.760232455,0.041348269,0.163594964,0.322629298,-0.44556879,0.082389295,0.976128714
-0.612953633,0.069028367,0.082389295,0.782270099,-0.338014853,0.58926224,0.082389295,0,-0.569431832,1.148512317,0.082696539,0.115006814,0.132399759,-0.087739525,0.082389295,0.377896775
-0.920462358,-0.009691662,0.082389295,0.471280059,-0.423694808,0.695057893,0.082389295,0,-0.670436451,1.267826979,0.082696539,-0.209062774,-0.546339236,0.326292368,0.082389295,1.902666323
-0.782186622,-1.87454542,0.041194647,0.685000086,-1.037817032,0.584700209,0.041194647,0,-0.876837192,1.306664627,0.082696539,0.062852561,-1.039414202,0.04281266,0.041194647,1.623324022
-0.825526778,-1.413894796,-0.041194647,-0.695960088,-1.278018063,0.35040737,-0.041194647,0,-1.288906757,1.324054618,0,0.693161223,-1.086591127,0.377738033,-0.041194647,1.162566159
-0.878670064,-1.50082307,-0.082389295,0.021920003,-1.144793161,0.179765715,-0.082389295,0,-1.951292115,1.331880114,-0.041348269,0.745315475,-1.148225498,0.564492844,-0.082389295,0.966084946
-1.203721233,-0.991813032,-0.123583942,-0.182210023,-1.199271746,0.055178842,-0.123583942,0,-2.104262877,1.333812335,-0.082696539,-0.316937382,-1.013542984,0.575592423,-0.123583942,0.652217192
-1.416810333,-0.825670256,-0.164778589,-0.480870061,-1.366669577,0.358336614,-0.164778589,0,-2.001794424,1.319513898,-0.124044808,-0.567456101,-0.789072128,0.446273525,-0.164778589,0.652217192
-2.058657403,-0.257323513,-0.164778589,-1.11244014,-1.39440413,0.409062045,-0.164778589,0,-1.175459541,0.790568328,-0.124044808,0.205496671,-0.686348177,-0.046864887,-0.164778589,0.745749783
1.127875961,-2.427662409,-0.123583942,3.767500475,0.544042954,-1.242718762,-0.123583942,0,2.007649764,-1.726053251,-0.124044808,0.348140781,0.407091214,-0.96654424,-0.123583942,0.092904855
0.783734485,-1.9721543,-0.123583942,-1.038460131,0.00173341,-0.84636523,-0.123583942,0,1.569231168,-1.393228139,-0.124044808,-0.045022047,0.271647782,-1.322611668,-0.123583942,0.838654638
0.573225157,-1.715918627,-0.123583942,0.417850053,-0.038382639,-0.664644358,-0.123583942,0,0.734113275,-1.015672105,-0.082696539,-0.198364466,-0.021305708,-0.641308974,-0.123583942,0.941603261
0.352912698,-1.490241357,-0.205973236,-0.191800024,-0.124062594,-0.475102864,-0.205973236,0,-0.177855958,-0.490590978,-0.124044808,-0.052154253,-0.376654487,0.006342616,-0.205973236,1.564316884
0.196578564,-1.347239897,-0.205973236,0.493200062,-0.184484297,-0.280999339,-0.205973236,0,0.411337648,-0.519574297,-0.124044808,0.505049302,-0.287627063,0.103772249,-0.205973236,0.642173424
-0.294609869,-0.633023753,-0.247167884,0.782270099,-0.018572245,-0.496283718,-0.247167884,0,-0.125889814,0.028596875,-0.124044808,-0.229567865,-0.385024587,0.003699859,-0.247167884,0.765209583
-0.212057191,-0.841295589,-0.247167884,0.642530081,0.086422845,-0.791729486,-0.247167884,0,-0.5848021,0.574545992,-0.165393078,0.062852561,-0.149900877,-0.367695558,-0.247167884,0.804129185
-0.390061403,-0.645583355,-0.288362531,0.289070036,-0.308299261,-0.076359697,-0.288362531,0,-0.55845307,0.519574297,-0.165393078,0.727930724,-0.315020117,-0.261280552,-0.288362531,0.642173424
