S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P,S4_T,S4_H,S4_R,S4_P
13.856,70.801,92.375,0.14,12.439,74.822,66.068,0.17,11.175,78.279,145.487,0.14,16.49,62.304,329.894,0.14
14.52,65.941,26.366,0.22,14.794,55.521,12.383,0.24,10.291,78.534,53.235,0.22,18.266,53.601,42.92,0.22
17.592,64.483,0,0.3,14.27,60.893,0.145,0.32,10.395,76.532,0,0.3,17.869,51.612,0,0.3
6.004,98.49,207.906,0.22,6.09,99.827,195.559,0.22,3.551,99.891,214.429,0.22,10.674,99.808,200.917,0.22
5.827,94.167,650.923,0.17,5.258,99.814,322.157,0.17,2.683,99.892,395.561,0.17,10.868,99.817,366.325,0.17
5.691,93.917,319.785,0.14,4.535,99.808,372.977,0.13,4.206,99.908,517.691,0.14,10.287,90.539,687.872,0.14
6.028,95.642,324.638,0.1,5.532,97.406,336.932,0.11,4.981,99.909,425.053,0.1,10.477,99.811,908.742,0.1
6.527,94.618,279.64,0.08,5.704,93.302,297.115,0.09,4.464,99.906,777.525,0.08,10.41,95.638,672.338,0.08
7.145,99.724,616.716,0.13,6.618,89.653,228.722,0.22,5.344,99.912,1312.348,0.13,11.018,84.995,1210.012,0.13
8.848,88.022,214.35,0.1,6.982,97.117,107.681,0.16,7.451,99.053,1096.054,0.1,12.336,75.323,1224.952,0.1
12.629,73.66,233.792,0.09,8.631,82.344,250.386,0.13,8.691,89.086,951.915,0.09,14.711,64.738,924.003,0.09
12.738,67.768,102.104,0.12,10.297,74.825,72.398,0.15,9.432,82.107,651.492,0.12,15.829,60.278,657.01,0.12
13.404,66.409,460.822,0.24,10.285,89.267,92.705,0.27,10.805,70.51,344.297,0.24,18.336,48.847,326.974,0.24
13.929,62.231,31.149,0.52,9.163,95.365,12.539,0.54,11.923,73.88,30.829,0.52,19.452,43.402,35.289,0.52
16.17,55.95,0,0.82,9.692,95.574,0,0.87,13.455,71.588,0,0.82,20.895,40.462,0,0.82
7.864,99.398,155.108,0.1,6.179,99.827,207.665,0.12,5.311,99.911,213.75,0.1,11.567,99.819,232.407,0.1
6.537,99.716,235.772,0.1,6.45,99.829,560.333,0.11,4.761,99.905,567.673,0.1,11.56,99.82,343.695,0.1
7.686,99.128,690.551,0.1,6.23,99.826,372.933,0.13,4.703,99.909,1131.095,0.1,11.479,99.813,994.443,0.1
7.503,99.72,266.549,0.13,5.701,99.822,341.755,0.17,4.178,99.898,1225.103,0.13,11.096,99.816,608.804,0.13
8.177,99.432,316.848,0.14,5.61,99.82,278.303,0.2,4.72,99.913,375.195,0.14,11.22,99.816,1161.523,0.14
8.167,99.728,377.784,0.03,5.872,99.825,519.175,0.06,6.255,99.918,1440.208,0.03,10.988,99.81,596.746,0.03
9.383,95.276,1141.692,0.02,7.102,99.836,112.42,0.03,6.928,99.927,573.4,0.02,12.148,86.509,470.609,0.02
11.211,82.899,272.309,0.01,9.201,97.588,368.281,0.03,8.579,97.124,888.427,0.01,14.465,68.654,848.122,0.01
14.233,70.352,157.19,0.02,9.428,84.285,41.798,0.04,11.237,73.344,655.669,0.02,16.277,60.615,636.859,0.02
15.366,61.71,62.248,0.04,8.945,99.278,80.455,0.06,11.76,68.019,330.795,0.04,17.923,52.24,315.789,0.04
16.337,57.771,52.902,0.07,9.205,96.182,34.367,0.09,11.833,64.252,38.617,0.07,19.44,43.58,62.744,0.07
17.187,51.398,0,0.1,8.687,99.855,0,0.11,13.955,68.328,0,0.1,20.505,40.184,0,0.1
8.541,96.011,59.029,0.04,6.362,99.827,413.09,0.06,5.336,99.904,164.539,0.04,11.912,89.876,64.085,0.04
7.668,96.904,372.089,0.03,5.477,99.822,200.453,0.04,5.107,99.913,214.22,0.03,12.021,88.332,188.97,0.03
