S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S4_T,S4_H,S4_P
15.635,49.622,0.4,8.974,99.856,0.42,12.161,64.215,0.4,21.053,36.356,0.4
15.666,50.446,0.38,9.772,99.375,0.37,10.251,70.482,0.38,18.617,42.519,0.38
14.256,55.554,0.32,8.267,99.846,0.3,8.613,95.284,0.32,17.4,49.844,0.32
13.186,62.079,0.27,8.126,99.848,0.24,8.266,81.465,0.27,16.13,52.383,0.27
11.902,65.86,0.25,7.361,99.839,0.23,7.209,84.029,0.25,14.3,67.261,0.25
10.661,76.284,0.23,7.586,99.842,0.22,6.832,99.275,0.23,13.39,74.517,0.23
9.246,80.768,0.19,5.949,99.827,0.21,6.974,95.932,0.19,12.663,77.12,0.19
8.211,85.152,0.18,5.421,94.352,0.2,6.332,99.919,0.18,11.396,85.312,0.18
8.321,84.793,0.16,6.84,84.88,0.2,6.093,99.914,0.16,11.832,86.366,0.16
8.924,83.599,0.15,6.952,80.88,0.19,5.881,99.909,0.15,11.424,93.709,0.15
8.612,88.239,0.14,6.27,95.354,0.19,6.361,99.917,0.14,11.239,99.807,0.14
14.318,59.446,0.23,8.36,99.855,0.25,12.368,68.572,0.23,19.645,40.362,0.23
17.339,48.172,0.28,8.629,99.853,0.31,12.687,61.994,0.28,21.077,38.853,0.28
15.356,51.818,0.3,8.789,99.852,0.31,11.97,64.333,0.3,21.126,36.85,0.3
14.749,54.413,0.31,8.495,99.849,0.27,10.816,72.848,0.31,18.553,47.936,0.31
11.726,78.444,0.35,8.276,99.843,0.26,9.187,86.77,0.35,13.661,77.722,0.35
10.648,84.634,0.36,7.679,99.842,0.25,8.195,90.497,0.36,14.01,74.42,0.36
10.146,85.119,0.35,7.745,99.84,0.23,5.921,99.909,0.35,12.469,81.268,0.35
10.104,90.726,0.32,7.411,99.835,0.21,7.101,95.47,0.32,12.296,81.988,0.32
9.715,94.797,0.26,6.426,99.829,0.18,6.315,99.917,0.26,11.33,88.487,0.26
9.547,88.508,0.18,5.994,99.822,0.14,6.852,98.834,0.18,11.336,84.334,0.18
9.459,89.47,0.14,5.681,99.822,0.11,6.135,99.917,0.14,10.984,99.816,0.14
8.397,99.723,0.1,7.068,82.766,0.09,5.41,99.913,0.1,11.159,99.817,0.1
12.609,71.669,0.32,10.612,75.455,0.4,11.336,82.351,0.32,18.159,48.233,0.32
13.246,67.703,0.44,10.161,85.699,0.35,9.665,86.114,0.44,18.772,48.249,0.44
13.042,68.012,0.45,10.871,87.741,0.26,9.47,90.174,0.45,17.563,47.573,0.45
12.286,69.526,0.41,8.55,99.851,0.21,10.151,85.771,0.41,17.083,52.767,0.41
11.626,74.042,0.45,8.081,99.848,0.22,8.34,97.191,0.45,15.935,53.496,0.45
11.115,75.388,0.55,7.997,99.845,0.27,5.801,99.209,0.55,13.642,70.707,0.55
9.293,83.718,0.68,6.673,99.833,0.37,4.016,99.897,0.68,11.435,85.124,0.68
7.034,92.78,0.76,5.817,99.818,0.48,5.576,96.784,0.76,10.787,99.806,0.76
6.997,92.26,0.9,6.147,94.14,0.68,5.986,99.913,0.9,10.262,99.801,0.9
7.666,91.348,1.06,6.323,94.418,0.95,4.42,99.905,1.06,10.373,99.806,1.06
7.736,95.646,1.01,5.861,99.532,1.01,5.749,92.757,1.01,10.466,99.809,1.01
7.296,99.721,0.73,5.867,99.816,0.77,4.612,99.909,0.73,10.634,99.807,0.73
17.004,56.158,0.16,9.466,99.859,0.15,9.891,78.428,0.16,18.624,46.7,0.16
11.139,84.974,0.18,9.687,99.858,0.18,8.129,99.927,0.18,14.998,66.347,0.18
11.449,81.856,0.17,9.617,99.861,0.17,9.392,80.103,0.17,15.699,60.733,0.17
